card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
164,CMR_14,6,3,player,Cameroon,Samuel,Oum Gouet,middle,1997-12-14,74.0,1.85,0
165,CRC_18,6,3,player,Costa Rica,Anthony,Contreras,attack,2000-01-29,72.0,1.80,0
166,JPN_14,6,4,player,Japan,Ao,Tanaka,middle,1998-09-10,69.0,1.80,0
167,ARG_17,6,4,player,Argentina,Alejandro,Gómez,attack,1988-02-15,68.0,1.65,0
168,KSA_04,6,4,player,Saudi Arabia,Mohammed,Al-Rubaie,keeper,1997-08-14,77.0,1.88,0
169,URU_11,6,4,player,Uruguay,Rodrigo,Bentancur,middle,1997-06-25,77.0,1.87,1
170,CAN_15,6,4,player,Canada,Mark-Anthony,Kaye,middle,1994-12-02,77.0,1.86,0
171,BEL_18,6,5,player,Belgium,Eden,Hazard,attack,1991-01-07,74.0,1.75,0
172,CAN_08,6,5,player,Canada,Richie,Laryea,defense,1995-01-07,68.0,1.75,0
173,WAL_17,6,5,player,Wales,Gareth,Bale,attack,1989-07-16,81.0,1.85,1
174,ESP_18,6,5,player,Spain,Ferran,Torres,attack,2000-02-29,77.0,1.84,0
175,FRA_08,6,5,player,France,Jules,Koundé,defense,1998-11-12,75.0,1.8,0
176,CRO_09,7,1,player,Croatia,Borna,Sosa,defense,1998-01-21,79.0,1.87,0
